postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
WC1N3PS,WC1N 3PS,WC,107,108.2,205,,21,117.9,117.9,,10,10.2,21,,1,11.2,11.2,,0,0,0,1,9,0,9,419,242,,1191,240,240,
WC1N3PX,WC1N 3PX,WC,107,105.9,331,,20.2,139.7,167,331,10,10.3,36,,1,13.7,16.9,36,0,0,0,5,6,1,7,381,288,,240,449,481,673
WC1N3PZ,WC1N 3PZ,WC,107,98.9,593,,18.7,97.8,135.9,593,10,8.2,39,,1,9.2,11.5,39,0,0,0,6,12,1,13,223,106,,89,253,234,0
WC1N3QT,WC1N 3QT,WC,107,86.3,205,,22.2,139.7,139.7,,10,8,21,,1.2,13.7,13.7,,0,0,0,5,6,0,6,143,54,,160,129,129,
WC1N3QZ,WC1N 3QZ,WC,107,118.1,593,,21.4,119.3,171.9,593,10,9.7,39,,1.2,11.4,14.4,39,0,0,0,5,8,1,9,228,128,,175,175,156,0
WC1N3RA,WC1N 3RA,WC,107,157.2,1096,6,20.4,100.9,265.6,562.2,10,11.7,49,0,1.1,9.4,20.1,39.2,0,0,1,10,9,5,14,255,219,53,209,263,248,221
WC1N3RB,WC1N 3RB,WC,107,141.6,460,6,21.1,188.7,250.4,374,10,13.7,36,1,1.1,19.2,24.8,36,0,0,1,7,6,3,9,368,193,482,289,379,294,126
WC1R4AP,WC1R 4AP,WC,107,98.7,205,,22,131,131,,10,9.8,21,,1.1,13.4,13.4,,0,0,0,8,19,0,19,310,216,,268,295,295,
WC1R4AY,WC1R 4AY,WC,107,113,331,,15.7,131.5,171.4,331,10,11.3,36,,1.3,12.8,17.4,36,0,0,0,3,4,1,5,126,58,,39,160,128,0
WC1R4BD,WC1R 4BD,WC,107,113,205,,,113,113,,10,12.2,21,,,12.2,12.2,,0,0,0,0,5,0,5,463,429,,,463,463,
WC1R4BG,WC1R 4BG,WC,107,102.6,205,,18.5,114.6,114.6,,10,12.8,21,,1,14.5,14.5,,0,0,0,2,14,0,14,427,351,,0,457,457,
WC1R4BW,WC1R 4BW,WC,107,92.6,205,,22,139.7,139.7,,10,8.7,21,,1,13.7,13.7,,0,0,0,2,3,0,3,198,141,,5,195,195,
WC1R4LL,WC1R 4LL,WC,23.3,21.5,23.44,,21.4,,,,1.2,1.1,1.27,,1.1,,,,0,0,0,9,0,0,0,224,150,,224,,,
WC1R4NA,WC1R 4NA,WC,51.9,74.7,205,,18.7,130.7,130.7,,5.5,8.9,21,,1,17,17,,0,0,0,3,3,0,3,162,132,,166,159,159,
WC1R4PA,WC1R 4PA,WC,107,88.1,205,,29,93.5,93.5,,10,10.9,21,,8,11.2,11.2,,0,0,0,1,11,0,11,318,185,,800,274,274,
