postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
E47RL,E4 7RL,E,67.5,112.9,1000,9,13,114.6,182.7,1000,15,18.4,115,1,1,23.3,30.4,115,0,0,2,7,12,1,13,570,468,262,520,526,645,2072
E47RQ,E4 7RQ,E,21.9,23.7,156.17,4.5,20.9,65.6,65.6,,4.3,4.8,29.32,0.8,4.3,13.6,13.6,,0,3,1,48,5,0,5,448,358,140,489,308,308,
E47RS,E4 7RS,E,75.6,110.6,1096,7.7,19,84,125.2,536.4,10,13.5,49,0.8,3.5,12.9,15.3,39.2,0,0,6,2,50,5,55,466,279,242,322,522,496,231
E47RT,E4 7RT,E,49.3,102.1,593,6.5,25.3,85,117.7,526.5,10,11.7,39,1,7.3,11,12.9,37.5,0,0,2,3,25,2,27,736,466,46,765,759,703,0
E47RU,E4 7RU,E,65.4,98.7,460,3.7,25,80.7,122.7,395.5,17.8,15.1,36,1,7,15.8,18.5,36,1,1,1,1,13,2,15,601,510,193,333,688,701,785
E47RW,E4 7RW,E,30.3,30,38.77,,23.2,34.1,34.1,,5.9,5.8,8.48,,4.4,6.6,6.6,,0,0,0,5,8,0,8,742,780,,555,859,859,
E47RX,E4 7RX,E,49.2,114.8,593,7,23.7,78.5,125.8,409.2,10,14.4,39,1,5.3,12,15.5,36.6,0,0,1,3,30,5,35,647,540,141,51,720,675,407
E47RY,E4 7RY,E,56.5,100.7,593,8,24.1,109.2,133.6,462,10,11.8,39,1,6.1,12.8,14.5,37.5,0,0,2,10,27,2,29,1037,713,199,1455,923,879,288
E47RZ,E4 7RZ,E,107,148.8,593,7,26.5,88.8,213.2,462,10,14.2,39,1,7,9.5,18.8,37.5,0,0,1,2,4,2,6,536,383,165,1092,304,323,361
E47SB,E4 7SB,E,31.3,55,331,5.7,16.8,64.2,86.4,331,6.2,7.8,36,2.3,4.3,8.5,10.8,36,1,0,2,6,11,1,12,288,123,206,182,345,362,546
E47SE,E4 7SE,E,58.1,116.2,331,6.5,,63.1,136.2,331,10,14.8,36,1,,10.3,17.3,36,0,0,2,0,8,3,11,679,532,1037,,491,552,714
E47SG,E4 7SG,E,79.7,123.5,593,,19,102.5,126.2,418.3,19.5,18,39,,1,16.9,18.4,37,0,0,0,1,37,3,40,597,445,,1,584,582,557
E47SH,E4 7SH,E,78.1,157,593,,28,81.3,162.2,418.3,19.5,19.4,39,,6,14.5,19.9,37,0,0,0,1,19,6,25,446,288,,261,475,417,237
E47SJ,E4 7SJ,E,107,112.3,205,,,112.4,112.4,,10,13.3,21,,,13.4,13.4,,0,0,0,0,11,0,11,388,269,,,388,388,
E47SL,E4 7SL,E,62.5,114.9,331,,,102.9,114.9,331,10,14.7,36,,,13.5,14.7,36,0,0,0,0,18,1,19,782,780,,,787,782,705
E47SN,E4 7SN,E,71.2,86,205,,14,95,95,,10.5,12.7,21,,1,14.1,14.1,,0,0,0,4,32,0,32,692,423,,127,741,741,
E47SP,E4 7SP,E,69.8,156.9,1096,7,20,91.6,165.2,717,12,15.2,49,1,1,12.6,16,41.8,0,0,1,2,45,6,51,668,520,75,134,705,622,0
E47SQ,E4 7SQ,E,79.7,129.3,1096,,22,92,133.8,1096,19.5,16,49,,1,15.2,16.6,49,0,0,0,1,23,1,24,539,431,,565,491,470,0
E47SR,E4 7SR,E,62.6,125.6,593,6,17.7,75.8,145.8,417.9,10,13.6,39,0.5,1.8,10.5,15.8,36.7,0,1,1,6,35,9,44,688,686,115,410,728,736,766
E47SS,E4 7SS,E,79.2,119.5,593,7,21.8,110.9,141.4,462,13.9,14.5,39,1,1,15.6,17.5,37.5,0,0,1,4,21,2,23,367,235,65,207,330,344,497
E47ST,E4 7ST,E,78.5,142.7,331,,23,129,162.7,331,19.5,19.6,36,,1,20,22.7,36,0,0,0,1,5,1,6,569,594,,221,527,533,559
E47SW,E4 7SW,E,54.9,84.8,205,,19,103.7,103.7,,10,11.9,21,,1,14.9,14.9,,0,0,0,2,7,0,7,610,553,,639,602,602,
E47TN,E4 7TN,E,63.4,70.7,205,,12,79.8,79.8,,10,11.1,21,,1,12.6,12.6,,0,0,0,4,26,0,26,569,470,,269,593,593,
E47TW,E4 7TW,E,46.4,61,205,,16,94.8,94.8,,11.1,10.6,21,,2.7,16.8,16.8,,0,0,0,3,4,0,4,441,227,,562,350,350,
E47UA,E4 7UA,E,45.8,37.6,78.12,6.7,14.3,58,58,,9.5,9.2,20,1,3.7,14.3,14.3,,0,0,3,3,8,0,8,217,109,109,89,305,305,
