postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
NW35RR,NW3 5RR,NW,107,200.6,593,,20,130,245.8,593,19.5,18.2,39,,1,17,22.5,39,0,0,0,1,3,1,4,273,11,,3,272,204,0
NW35RS,NW3 5RS,NW,107,93.2,205,8,23.5,121.3,121.3,,10,9.9,21,0,1.5,13.3,13.3,,0,0,1,2,8,0,8,279,254,0,278,315,315,
NW35RT,NW3 5RT,NW,79.7,102,205,,19,111.2,111.2,,19.8,14.8,21,,1.5,16.3,16.3,,0,0,0,2,18,0,18,447,359,,380,355,355,
NW35RX,NW3 5RX,NW,79.7,125,331,,,99.3,125,331,20,19.9,36,,,17.9,19.9,36,0,0,0,0,8,1,9,491,451,,,496,491,451
NW35SD,NW3 5SD,NW,56,121.5,593,8,,83.7,137.7,462,19.1,17.3,39,1,,16.7,19.6,37.5,0,0,2,0,12,2,14,386,280,57,,426,406,284
NW35SG,NW3 5SG,NW,60.6,82.6,331,0,10,58.2,92.3,331,16.2,15.4,36,1,1,14.6,17.3,36,1,0,0,1,14,2,16,315,241,0,40,306,312,353
NW35SJ,NW3 5SJ,NW,79.7,112,331,,,80.7,112,331,20,19.5,36,,,17.1,19.5,36,0,0,0,0,7,1,8,428,311,,,215,375,1493
NW35SL,NW3 5SL,NW,107,113.4,331,,,89.2,113.3,331,10,13.7,36,,,11.2,13.7,36,0,0,0,0,18,2,20,240,170,,,220,228,299
NW35SN,NW3 5SN,NW,74,58.3,107,4,18.5,74.9,74.9,,10,12,20,6,1,15.6,15.6,,0,1,0,2,8,0,8,322,176,207,171,375,375,
NW35SU,NW3 5SU,NW,75.5,87.1,205,,20,92.4,92.4,,13.3,14.3,21,,1,15.3,15.3,,0,0,0,1,13,0,13,378,203,,9,377,377,
NW35SX,NW3 5SX,NW,92.6,139.8,460,,13,97.1,151.4,395.5,18.7,17.6,36,,1,15.3,19.1,36,0,0,0,1,9,2,11,581,461,,57,570,629,892
NW35TB,NW3 5TB,NW,205,154.8,331,,16.5,205,247,331,21,16.1,36,,1,21,26,36,0,0,0,2,2,1,3,354,308,,388,79,331,837
NW35TD,NW3 5TD,NW,107,128.2,331,7,,116.6,143.4,331,16.5,16,36,1,,15.4,18,36,0,0,1,0,7,1,8,244,206,163,,208,224,334
NW35TE,NW3 5TE,NW,75.5,84.4,205,7,17,94.9,94.9,,19.5,15,21,1,2,17,17,,0,0,2,1,21,0,21,539,393,14,427,595,595,
NW35TH,NW3 5TH,NW,66.7,104,331,,22.3,83.1,124.4,331,10,14.9,36,,3.7,14,17.7,36,0,0,0,3,10,2,12,367,283,,166,271,418,1151
NW35TN,NW3 5TN,NW,78.1,112.6,331,,,85.3,112.6,331,19.5,17.3,36,,,15,17.3,36,0,0,0,0,8,1,9,257,134,,,175,171,140
NW35TP,NW3 5TP,NW,78.1,79.4,205,,22,84.3,84.3,,19.5,18,21,,12,18.5,18.5,,0,0,0,1,12,0,12,477,399,,1156,420,420,
NW35TY,NW3 5TY,NW,76.3,67.5,79.91,8,11,71,71,,20,16.9,20,1,1,17.9,17.9,,0,0,1,1,33,0,33,383,190,234,194,381,381,
NW35TZ,NW3 5TZ,NW,57.5,49.5,78.14,9,14.6,66.5,66.5,,14.5,11.6,20,1,1,16.5,16.5,,0,0,2,5,15,0,15,497,367,102,256,631,631,
NW35UA,NW3 5UA,NW,73.4,62,79.67,,15,67.8,67.8,,19.5,15.9,20,,1,17.7,17.7,,0,0,0,2,16,0,16,324,248,,64,357,357,
NW35UB,NW3 5UB,NW,65.4,52.6,78.37,6,18,65.6,65.6,,18.2,13.4,20,1,3,17.1,17.1,,0,0,1,5,17,0,17,349,278,21,134,370,370,
NW35UE,NW3 5UE,NW,77.2,110.5,331,,,79,110.5,331,19.5,20,36,,,17.7,20,36,0,0,0,0,7,1,8,367,231,,,302,321,455
NW35UH,NW3 5UH,NW,79.7,92.1,205,,19,96.4,96.4,,13.7,14.5,21,,3,15.2,15.2,,0,0,0,1,17,0,17,329,249,,443,322,322,
NW35UJ,NW3 5UJ,NW,79.9,162,1096,10,30,105.2,171.8,587.8,20,19.1,49,1,9,16.9,20.1,40,0,0,1,1,25,4,29,543,394,22,271,560,495,95
NW35UL,NW3 5UL,NW,62.4,55.5,79.67,7,12,63.2,63.2,,19.5,14.9,20,1,1,17.2,17.2,,0,0,1,1,12,0,12,646,382,353,302,645,645,
NW35UN,NW3 5UN,NW,76.8,94.9,331,7,,84.4,100.8,331,18,15.9,36,1,,15.5,16.9,36,0,0,1,0,14,1,15,236,195,0,,250,236,44
NW35UP,NW3 5UP,NW,93.4,173.4,593,,,113.4,173.4,593,20,20.1,39,,,17.4,20.1,39,0,0,0,0,7,1,8,254,244,,,218,191,0
NW36AA,NW3 6AA,NW,79.7,111,331,,19.7,93.7,118,331,19.5,17.2,36,,1,16.4,18.4,36,0,0,0,3,35,4,39,465,393,,273,468,444,233
NW36AE,NW3 6AE,NW,76.8,65.3,107,,19,74.5,74.5,,19.6,15,20,,1,17.9,17.9,,0,0,0,2,10,0,10,238,217,,217,243,243,
NW36AG,NW3 6AG,NW,79.8,117,460,2,22.5,99.3,122.3,427.8,19.5,16.5,36,0,5.5,15.8,17.2,36,0,1,0,2,53,4,57,376,332,63,208,357,368,506
NW36AJ,NW3 6AJ,NW,77,97.3,593,,,73.7,97.3,593,19.5,17.3,39,,,16.3,17.3,39,0,0,0,0,21,1,22,478,339,,,455,435,0
NW36AL,NW3 6AL,NW,78.1,67.7,107,7,19,75.7,75.7,,19.5,16.6,20,1,5,18.6,18.6,,0,0,1,2,20,0,20,496,333,159,160,522,522,
