postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
W37PT,W3 7PT,W,53.9,48.5,65.44,,13,52,52,,17,15.1,20,,1,16.6,16.6,,0,0,0,1,10,0,10,748,518,,65,817,817,
W37PU,W3 7PU,W,56.4,48.9,67.23,5,,59.8,59.8,,19.8,16,20,1,,19.8,19.8,,0,0,1,0,4,0,4,476,298,12,,592,592,
W37PW,W3 7PW,W,55.5,47.8,66.8,7,,55.8,55.8,,15.9,14,20,2,,16.4,16.4,,0,0,1,0,5,0,5,1079,755,21,,1290,1290,
W37PX,W3 7PX,W,52.7,48.8,63.7,,,48.8,48.8,,14.3,13.6,18.56,,,13.6,13.6,,0,0,0,0,13,0,13,504,355,,,504,504,
W37PY,W3 7PY,W,33.7,99.3,1000,5.4,16.3,115.9,189.6,1000,0.8,2.1,16.73,0.8,1.3,1.5,1.4,0,0,2,6,4,11,1,12,149,68,69,129,80,73,0
W37QA,W3 7QA,W,107,128,331,7.5,,130.7,144.1,331,10,15.8,36,0.5,,16.6,17.9,36,0,0,2,0,14,1,15,519,243,51,,550,547,505
W37QB,W3 7QB,W,7.2,9.1,40.87,6.7,10.3,41,41,,1.1,1.5,10.89,0.9,1,11,11,,1,0,14,3,1,0,1,110,13,79,35,805,805,
W37QD,W3 7QD,W,79.8,144.8,1096,5.7,,95.5,154.9,501.5,19.1,17.3,49,1,,15.1,18.5,38.2,0,1,2,0,35,6,41,390,244,80,,405,413,459
W37QE,W3 7QE,W,4.5,5.7,13,2.8,11.5,,,,0.8,0.8,1.13,0.8,1,,,,2,2,0,2,0,0,0,31,24,16,46,,,
W37QH,W3 7QH,W,79.7,123.8,1096,6.7,12,104.1,165.6,509.8,10,13.5,49,0.9,1.4,14.3,18,38.6,0,2,5,5,28,5,33,435,384,154,191,488,492,520
W37QL,W3 7QL,W,15.8,27.4,78.11,,14.8,78,78,,1.2,4.8,19.53,,1.3,20,20,,0,0,0,4,1,0,1,406,351,,325,730,730,
W37QN,W3 7QN,W,100,159.5,1000,9,23,106.3,166.1,750,19.5,16,20,1,12,5,4.6,0,0,0,1,1,39,4,43,676,490,6,366,216,196,0
W37QP,W3 7QP,W,12.9,47,205,8,13.3,156,156,,1.2,4.7,21,1,1,15.5,15.5,,0,0,3,3,2,0,2,209,200,37,238,424,424,
W37QS,W3 7QS,W,8.9,9.5,15.34,8,13,,,,1,0.9,1.2,0.9,1.3,,,,0,0,9,4,0,0,0,28,14,31,22,,,
W37QZ,W3 7QZ,W,80,112,500,,,84.3,112,500,20,17.5,20,,,5,4.7,0,0,0,0,0,14,1,15,492,515,,,141,131,0
W37RD,W3 7RD,W,56.2,58.3,205,5.7,15,91.4,91.4,,10,10.2,21,0.7,1,16.7,16.7,,0,1,2,4,10,0,10,221,126,68,83,300,300,
W37RE,W3 7RE,W,78.1,146.6,1096,,22,93.6,152.5,712,18.9,18,49.94,,1,15.6,18.8,49.5,0,0,0,1,19,2,21,394,282,,84,348,353,397
W37RF,W3 7RF,W,107,121,593,7,23,111.5,138.2,593,10,14.8,39,1,4,15.5,16.8,39,0,0,1,2,17,1,18,441,324,169,872,381,360,0
W37RG,W3 7RG,W,93.5,148.7,1096,,13.6,108.8,170.5,586.8,19.5,18.2,49,,1.4,18.1,20.9,39.3,0,0,0,5,27,4,31,504,324,,287,443,474,684
W37RH,W3 7RH,W,40,55.9,205,8,13.5,78.2,78.2,,10,11.2,21,1,1,16.3,16.3,,0,0,1,2,6,0,6,415,160,128,90,572,572,
W37RJ,W3 7RJ,W,74,107,205,,,107,107,,17,16.5,21,,,16.4,16.4,,0,0,0,0,7,0,7,420,508,,,420,420,
W37RL,W3 7RL,W,150,307,1000,,,105.7,307,776.7,30,30,50,,,1.4,6,16.7,0,0,0,0,7,3,10,574,574,,,12,115,355
W37RQ,W3 7RQ,W,66,117.3,1096,7,14,95,142.6,1096,14.5,15.5,49,0.5,1,17.5,19,49,0,0,2,3,20,1,21,356,209,13,102,392,374,0
W37RR,W3 7RR,W,79.7,73.9,205,7.3,17.5,112.6,112.6,,10,10.4,21,0.7,6,14.7,14.7,,0,0,3,4,11,0,11,391,318,234,245,416,416,
W37RT,W3 7RT,W,107,122.6,205,,15.8,137.8,137.8,,20,16.4,29.97,,1.3,18.6,18.6,,0,0,0,4,28,0,28,581,503,,154,559,559,
W37RU,W3 7RU,W,78.1,91.7,331,5.5,16,94.6,102.2,331,10,13.9,36,1,1,14.9,15.6,36,0,1,1,2,30,1,31,571,369,45,266,525,588,2468
W37RX,W3 7RX,W,79.7,116.7,593,9,17.3,103.1,131.6,395.8,19.5,16.9,49.94,1,1,17,19.3,40.3,0,0,2,4,37,4,41,546,425,92,6,623,594,324
W37RZ,W3 7RZ,W,9.8,16.3,58.52,7,11,59,59,,1,4,19.53,1,1,20,20,,0,1,3,1,1,0,1,460,308,184,0,1105,1105,
W37SA,W3 7SA,W,64.6,59.2,140.59,6,15,67.6,67.6,,19,15.2,30.01,1,1,17.7,17.7,,0,0,1,3,22,0,22,437,307,18,176,492,492,
W37SB,W3 7SB,W,78.1,145.2,1096,,17,73.1,153.2,713.5,19.5,19.4,49,,8,16.9,20.1,42.5,0,0,0,1,14,2,16,510,505,,505,474,447,257
W37SE,W3 7SE,W,79.9,113.9,460,5,16,101.7,128.4,381.5,18.9,16.9,47.06,1,1.5,16.8,19.1,41.5,0,0,1,2,19,2,21,385,277,0,115,423,411,297
W37SF,W3 7SF,W,107,98.3,331,8,,95.4,107.8,331,10,13.4,36,0.5,,13.6,14.7,36,0,0,2,0,18,1,19,302,234,189,,281,266,0
W37SG,W3 7SG,W,51.2,60.5,158.53,,18.3,78.6,78.6,,10,11.8,30.01,,1.3,16.4,16.4,,0,0,0,3,7,0,7,369,317,,241,423,423,
W37SH,W3 7SH,W,79.8,78.5,159.1,9,17,92.2,92.2,,10,13.7,29.99,1,3.5,16.1,16.1,,0,0,1,2,14,0,14,391,240,64,406,412,412,
W37SJ,W3 7SJ,W,48.8,66,205,,17.8,88.3,88.3,,10,11.1,30.02,,1.2,15.6,15.6,,0,0,0,6,13,0,13,377,260,,64,492,492,
W37SL,W3 7SL,W,47.4,49.2,107,6,19.2,68.5,68.5,,10,10.3,20,1,1.2,15.9,15.9,,0,0,1,5,10,0,10,436,328,1025,435,378,378,
W37SN,W3 7SN,W,100,110,250,,,110,110,,10,10,10,,,1.1,1.1,,0,0,0,0,18,0,18,133,133,,,15,15,
W37SQ,W3 7SQ,W,79.7,89.5,205,,15,95.7,95.7,,19.5,16.2,30,,1,17.5,17.5,,0,0,0,1,12,0,12,435,402,,99,463,463,
W37SR,W3 7SR,W,8.1,62.7,331,4.6,14,156,214.3,331,0.8,6.6,36,0.7,1,15.5,22.3,36,1,3,3,1,2,1,3,279,214,130,39,676,522,214
W37ST,W3 7ST,W,65.5,129.4,460,,14,74,138.3,408.4,19.5,18.3,36,,4,15.4,19.4,36,0,0,0,2,21,5,26,440,339,,41,439,454,518
W37SU,W3 7SU,W,60.8,67,205,6.5,,77,77,,12.6,13,21,1,,15,15,,0,0,2,0,12,0,12,609,714,9,,709,709,
W37SX,W3 7SX,W,68.4,85.7,205,7,15.7,92.4,92.4,,13.7,14.8,29.96,1,4,15.9,15.9,,0,0,1,3,43,0,43,408,337,137,334,420,420,
W37SZ,W3 7SZ,W,8.7,15.4,79.76,5.5,13.3,60,60,,1,2.9,20,0.9,1,15,15,,1,2,5,4,2,0,2,211,96,55,438,167,167,
W37TA,W3 7TA,W,39.9,99.4,593,6,19.3,75.1,120.1,435,10,12.2,39,0.5,5.4,10.9,14.1,36.6,0,0,2,8,35,5,40,400,254,97,235,390,389,380
W37TB,W3 7TB,W,69,136.2,460,,,89.1,136.2,395.5,19.5,19.5,36,,,16.5,19.5,36,0,0,0,0,11,2,13,454,429,,,334,419,885
W37TE,W3 7TE,W,78.9,105.2,331,,17.5,102.8,113.1,331,19.5,16.5,36,,1,17,17.9,36,0,0,0,2,21,1,22,588,439,,155,580,601,1030
W37TF,W3 7TF,W,107,145.1,331,,,129.6,145.1,331,21,20.6,36,,,19.3,20.5,36,0,0,0,0,12,1,13,745,700,,,705,744,1224
